# Input file name  = bc03/models/Geneva1994/chabrier/bc2003_hr_m64_chab_ssp.ised
# Output file name = spectra/original/model_template_hr.csv
# Record         136         153         161         169         177         185
# Column           2           3           4           5           6           7
# SED(Lo/A)       at          at          at          at          at          at    
# Lambda(A)  1.01519E+09 3.00000E+09 5.00000E+09 7.00000E+09 9.00000E+09 1.10000E+10
3.721000E+03 8.09718E-05 1.99817E-05 9.91382E-06 6.65955E-06 4.68006E-06 3.52017E-06
3.722000E+03 7.95457E-05 2.10166E-05 1.08814E-05 7.56770E-06 5.46562E-06 4.15657E-06
3.723000E+03 8.73294E-05 2.41827E-05 1.27746E-05 8.97030E-06 6.55172E-06 5.02080E-06
3.724000E+03 9.89626E-05 2.73132E-05 1.45287E-05 1.03205E-05 7.61187E-06 5.87465E-06
3.725000E+03 1.08111E-04 2.92791E-05 1.54467E-05 1.08833E-05 8.00916E-06 6.20764E-06
3.726000E+03 1.11033E-04 2.87346E-05 1.50196E-05 1.05773E-05 7.78995E-06 6.04940E-06
3.727000E+03 1.10277E-04 2.75367E-05 1.42909E-05 1.00236E-05 7.33649E-06 5.65976E-06
3.728000E+03 1.11784E-04 2.77492E-05 1.43721E-05 1.00432E-05 7.33862E-06 5.66548E-06
3.729000E+03 1.13634E-04 2.83411E-05 1.46804E-05 1.02674E-05 7.50128E-06 5.78242E-06
3.730000E+03 1.12411E-04 2.81966E-05 1.45125E-05 1.00708E-05 7.32540E-06 5.65384E-06
3.731000E+03 1.05877E-04 2.66876E-05 1.36422E-05 9.41739E-06 6.81771E-06 5.24563E-06
3.732000E+03 9.28211E-05 2.31877E-05 1.17009E-05 7.89297E-06 5.59583E-06 4.25389E-06
3.733000E+03 8.01582E-05 2.01517E-05 1.00448E-05 6.73308E-06 4.74590E-06 3.60218E-06
3.734000E+03 7.08996E-05 1.77758E-05 8.75397E-06 5.77304E-06 3.99554E-06 2.98510E-06
3.735000E+03 6.96106E-05 1.71946E-05 8.37743E-06 5.57258E-06 3.86182E-06 2.87085E-06
3.736000E+03 7.46721E-05 1.83194E-05 8.93960E-06 5.95371E-06 4.11714E-06 3.04698E-06
3.737000E+03 8.66543E-05 2.12688E-05 1.05198E-05 7.10472E-06 4.97393E-06 3.69713E-06
3.738000E+03 1.00054E-04 2.41422E-05 1.21378E-05 8.25953E-06 5.83637E-06 4.36967E-06
3.739000E+03 1.12583E-04 2.74470E-05 1.40288E-05 9.73609E-06 7.02715E-06 5.35595E-06
3.740000E+03 1.19864E-04 2.93573E-05 1.50975E-05 1.04754E-05 7.57547E-06 5.78922E-06
3.741000E+03 1.21672E-04 2.95437E-05 1.51451E-05 1.05006E-05 7.60866E-06 5.83819E-06
3.742000E+03 1.18670E-04 2.80630E-05 1.41637E-05 9.67877E-06 6.92374E-06 5.28190E-06
3.743000E+03 1.14225E-04 2.64003E-05 1.31082E-05 8.83920E-06 6.24863E-06 4.73544E-06
3.744000E+03 1.08953E-04 2.43201E-05 1.18420E-05 7.81354E-06 5.38925E-06 4.00133E-06
3.745000E+03 1.03256E-04 2.31234E-05 1.11715E-05 7.35314E-06 5.06743E-06 3.77100E-06
3.746000E+03 9.67810E-05 2.19535E-05 1.06319E-05 7.01431E-06 4.83714E-06 3.59132E-06
3.747000E+03 8.75414E-05 2.01367E-05 9.77480E-06 6.45082E-06 4.45263E-06 3.31553E-06
3.748000E+03 7.74824E-05 1.84192E-05 8.99568E-06 5.98545E-06 4.18158E-06 3.14974E-06
3.749000E+03 6.99012E-05 1.75810E-05 9.00115E-06 6.19830E-06 4.44434E-06 3.37073E-06
3.750000E+03 7.15085E-05 1.91853E-05 1.01103E-05 7.07694E-06 5.15427E-06 3.94171E-06
3.751000E+03 8.14333E-05 2.24914E-05 1.20582E-05 8.64781E-06 6.42103E-06 4.96566E-06
3.752000E+03 9.49456E-05 2.60039E-05 1.39454E-05 9.98639E-06 7.40052E-06 5.70870E-06
3.753000E+03 1.08926E-04 2.88947E-05 1.54089E-05 1.10269E-05 8.17650E-06 6.33016E-06
3.754000E+03 1.20463E-04 3.17342E-05 1.68391E-05 1.19948E-05 8.89335E-06 6.90979E-06
3.755000E+03 1.27385E-04 3.26142E-05 1.71515E-05 1.20930E-05 8.89004E-06 6.87666E-06
3.756000E+03 1.26422E-04 3.11767E-05 1.58848E-05 1.08895E-05 7.85834E-06 6.05551E-06
3.757000E+03 1.19503E-04 2.77007E-05 1.37752E-05 9.37129E-06 6.70045E-06 5.13633E-06
3.758000E+03 1.12106E-04 2.51865E-05 1.23538E-05 8.28704E-06 5.83116E-06 4.41441E-06
3.759000E+03 1.09683E-04 2.46848E-05 1.22864E-05 8.42350E-06 6.02759E-06 4.58963E-06
3.760000E+03 1.11429E-04 2.58919E-05 1.31053E-05 9.04533E-06 6.50061E-06 4.94839E-06
3.761000E+03 1.14945E-04 2.72635E-05 1.37830E-05 9.50534E-06 6.85964E-06 5.26266E-06
3.762000E+03 1.16996E-04 2.74602E-05 1.37966E-05 9.47849E-06 6.80780E-06 5.20260E-06
3.763000E+03 1.18816E-04 2.75657E-05 1.37536E-05 9.37656E-06 6.66975E-06 5.05482E-06
3.764000E+03 1.19067E-04 2.76082E-05 1.37474E-05 9.32984E-06 6.61190E-06 5.00262E-06
3.765000E+03 1.16531E-04 2.73092E-05 1.36126E-05 9.23624E-06 6.54987E-06 4.95911E-06
3.766000E+03 1.10920E-04 2.64613E-05 1.33163E-05 9.03598E-06 6.42240E-06 4.87575E-06
3.767000E+03 1.03681E-04 2.57008E-05 1.31080E-05 9.00505E-06 6.48558E-06 4.97556E-06
3.768000E+03 9.62461E-05 2.49920E-05 1.31722E-05 9.26392E-06 6.83274E-06 5.33733E-06
3.769000E+03 8.86719E-05 2.43108E-05 1.32025E-05 9.53592E-06 7.19111E-06 5.68357E-06
3.770000E+03 8.42967E-05 2.42919E-05 1.34885E-05 9.91165E-06 7.58792E-06 6.05451E-06
3.771000E+03 8.70732E-05 2.55631E-05 1.42795E-05 1.06036E-05 8.16100E-06 6.50345E-06
3.772000E+03 9.35473E-05 2.74614E-05 1.52283E-05 1.11918E-05 8.53666E-06 6.76376E-06
3.773000E+03 1.02351E-04 2.96167E-05 1.60304E-05 1.16417E-05 8.80654E-06 6.96139E-06
3.774000E+03 1.08712E-04 3.03441E-05 1.62651E-05 1.16929E-05 8.76853E-06 6.89232E-06
3.775000E+03 1.14025E-04 3.05953E-05 1.62608E-05 1.15977E-05 8.64074E-06 6.76750E-06
3.776000E+03 1.20242E-04 3.10082E-05 1.63772E-05 1.16358E-05 8.64292E-06 6.75878E-06
3.777000E+03 1.26442E-04 3.14533E-05 1.65277E-05 1.17199E-05 8.69613E-06 6.80254E-06
3.778000E+03 1.32991E-04 3.26016E-05 1.70548E-05 1.21232E-05 9.00038E-06 7.03616E-06
3.779000E+03 1.39816E-04 3.38221E-05 1.76684E-05 1.25265E-05 9.27954E-06 7.24410E-06
3.780000E+03 1.45196E-04 3.48755E-05 1.81615E-05 1.28714E-05 9.53817E-06 7.45458E-06
3.781000E+03 1.48123E-04 3.54059E-05 1.84822E-05 1.30863E-05 9.68599E-06 7.55761E-06
3.782000E+03 1.50132E-04 3.57271E-05 1.86704E-05 1.32118E-05 9.77066E-06 7.61857E-06
3.783000E+03 1.51620E-04 3.60034E-05 1.87049E-05 1.32196E-05 9.77474E-06 7.63722E-06
3.784000E+03 1.49985E-04 3.52765E-05 1.81975E-05 1.28381E-05 9.46681E-06 7.38339E-06
3.785000E+03 1.43910E-04 3.31250E-05 1.68405E-05 1.17252E-05 8.55916E-06 6.64626E-06
3.786000E+03 1.35887E-04 3.06088E-05 1.53864E-05 1.06308E-05 7.70363E-06 5.95589E-06
3.787000E+03 1.28622E-04 2.87865E-05 1.43743E-05 9.80561E-06 7.01404E-06 5.36452E-06
3.788000E+03 1.24989E-04 2.77586E-05 1.37526E-05 9.33009E-06 6.63284E-06 5.04828E-06
3.789000E+03 1.23628E-04 2.77399E-05 1.37784E-05 9.36207E-06 6.67322E-06 5.09118E-06
3.790000E+03 1.23997E-04 2.81383E-05 1.41746E-05 9.74900E-06 7.03561E-06 5.41508E-06
3.791000E+03 1.23536E-04 2.84354E-05 1.44105E-05 9.98876E-06 7.25841E-06 5.61095E-06
