wavelengths 1 3 5 7 9 11
3065.67440164 7.750482407816254e-05 1.6394892212066532e-05 8.681103213686836e-06 5.574902640241105e-06 3.835328595725266e-06 2.816978777019301e-06
3066.18538995 7.951005980071149e-05 1.8613416451577666e-05 1.0385778242140646e-05 6.908075004065984e-06 4.899949138882535e-06 3.690389081100466e-06
3066.69646344 7.099974086648202e-05 1.633472320895488e-05 9.148608115448108e-06 6.101189450771657e-06 4.335023110849834e-06 3.2705035948205644e-06
3067.20762211 5.3647540597335766e-05 1.0770917095389695e-05 5.698505591790659e-06 3.640186713412572e-06 2.4815273508595777e-06 1.8067685232595363e-06
3067.71886598 5.3191456434739166e-05 1.0027682169264008e-05 4.992970019730556e-06 3.019710231817111e-06 1.943126194385435e-06 1.3390559195869554e-06
3068.23019507 6.182880112549472e-05 1.1127037506568564e-05 5.260589273298339e-06 3.0650706631265964e-06 1.9073464159928286e-06 1.2785137747202723e-06
3068.74160939 7.13452563484063e-05 1.2854182904927955e-05 6.175058141722176e-06 3.677427737287479e-06 2.353268582551384e-06 1.6235004873232565e-06
3069.25310895 7.840783370057198e-05 1.5974269809264706e-05 8.279098121151115e-06 5.229312228562165e-06 3.540996958717581e-06 2.5660452570357874e-06
3069.76469376 8.800933059358273e-05 2.0173789115456503e-05 1.0950775989365387e-05 7.142164042033604e-06 4.9781614604487085e-06 3.698088145781404e-06
3070.27636385 9.140289265318876e-05 2.1219402272004012e-05 1.1632021255768567e-05 7.656593019566501e-06 5.3847749111351626e-06 4.0358867690569125e-06
3070.78811922 8.926770960003235e-05 2.0389825989348585e-05 1.1065577948876294e-05 7.240354716041725e-06 5.068152617289007e-06 3.7895339887356137e-06
3071.29995989 8.151633288661866e-05 1.852359907445516e-05 1.0009159363069157e-05 6.528382734910852e-06 4.560609881015405e-06 3.4095621363012737e-06
3071.81188588 7.76457822248318e-05 1.877090738994777e-05 1.0588872733070746e-05 7.115778050641734e-06 5.099576633225443e-06 3.889722353554093e-06
3072.32389719 7.870821936924508e-05 1.9681647668606074e-05 1.1399080381896958e-05 7.795515209838702e-06 5.66748952481211e-06 4.36857014984807e-06
3072.83599385 7.150095415028503e-05 1.6125562053960715e-05 9.028658736725802e-06 6.050411930433123e-06 4.32982861284095e-06 3.2979754026739692e-06
3073.34817586 6.617749914333518e-05 1.3744207057247747e-05 7.433658776404462e-06 4.8597908921601435e-06 3.403430223686482e-06 2.5438135027482543e-06
3073.86044325 7.007330291313379e-05 1.5241640669488529e-05 8.319161264392596e-06 5.449270746227227e-06 3.814856977756764e-06 2.8433588747807423e-06
3074.37279602 7.861205842821898e-05 1.7581182761830158e-05 9.58452479320457e-06 6.25141176723451e-06 4.35361843300759e-06 3.2284085367501924e-06
3074.88523418 8.19779684229828e-05 1.8154886576909498e-05 9.81240496170231e-06 6.359880829655544e-06 4.4039906414627925e-06 3.252812359283909e-06
3075.39775777 8.342956514683724e-05 1.9306530447050164e-05 1.0696832478432911e-05 7.070073266677689e-06 4.986024540138174e-06 3.7413106362895422e-06
3075.91036677 7.416475667685228e-05 1.6267411943212688e-05 8.877392896691516e-06 5.824301671353209e-06 4.086304167963455e-06 3.055025450528954e-06
3076.42306123 6.311670221977564e-05 1.123917705698365e-05 5.572234651923435e-06 3.42521578221553e-06 2.2707123421020313e-06 1.6225976567471077e-06
3076.93584113 6.812707559481679e-05 1.2786908537822241e-05 6.480638418540995e-06 4.026807891664066e-06 2.6873728571859487e-06 1.925533950594764e-06
3077.44870651 7.877049451038125e-05 1.7879987158824217e-05 9.748800614993754e-06 6.3479212566168025e-06 4.408331301046013e-06 3.2581073027915483e-06
3077.96165737 7.707424932499832e-05 1.807798404609377e-05 1.0053857388614745e-05 6.658370024538128e-06 4.702406315971681e-06 3.532249439781278e-06
3078.47469373 7.34766937259255e-05 1.6586087328636777e-05 9.272281136116339e-06 6.195684097398234e-06 4.4177158976652085e-06 3.3519771743696768e-06
3078.98781561 7.310836869874966e-05 1.625907869615832e-05 9.078265565154874e-06 6.072251937482825e-06 4.335485390466187e-06 3.293380140133396e-06
3079.50102301 7.294894314592654e-05 1.6739809641034778e-05 9.460749022710901e-06 6.391315218914167e-06 4.608470877377981e-06 3.5329413508976524e-06
3080.01431595 8.738919480209363e-05 2.2288425956315136e-05 1.3007273413419945e-05 8.964261483338694e-06 6.568442452028556e-06 5.102145176168161e-06
3080.52769445 9.035272522398402e-05 2.2774582754119387e-05 1.3117391945320671e-05 8.94000601864125e-06 6.479666468737714e-06 4.985485549382073e-06
3081.04115852 8.20703605033968e-05 1.9388304994910612e-05 1.0776223759323637e-05 7.133430065307082e-06 5.029105875487569e-06 3.774235348756568e-06
3081.55470818 8.071912941578081e-05 1.8780002767236052e-05 1.0348207480696835e-05 6.800275214073649e-06 4.7572348057200575e-06 3.5441141532236765e-06
3082.06834343 8.225979904310277e-05 1.836211228328677e-05 9.91335133588181e-06 6.452126814288395e-06 4.484065492417666e-06 3.329099212260014e-06
3082.5820643 7.69912479740023e-05 1.552330244834905e-05 7.907360767626543e-06 4.9335877031305655e-06 3.301053418144332e-06 2.37392405522152e-06
